_id,FinancialYear,CA,Dataset,DatasetQF,DischargesRate,PatientsRate
57,1997/98,S12000020,Total,d,705.6,487.61
58,1997/98,S12000013,SMR01, ,465.78,376.21
59,1997/98,S12000013,SMR04, ,716.59,429.95
60,1997/98,S12000013,Total,d,1182.37,788.25
61,1997/98,S12000021,SMR01, ,185.2,163.41
62,1997/98,S12000021,SMR04, ,715.38,468.44
63,1997/98,S12000021,Total,d,896.94,606.43
64,1997/98,S12000050,SMR01, ,117.83,105.42
65,1997/98,S12000050,SMR04, ,500.76,344.18
66,1997/98,S12000050,Total,d,618.59,434.1
67,1997/98,S12000023,SMR01, ,328.78,278.2
68,1997/98,S12000023,SMR04, ,252.91,227.62
69,1997/98,S12000023,Total,d,606.98,455.24
70,1997/98,S12000048,SMR01, ,130.62,111.96
71,1997/98,S12000048,SMR04, ,600.84,417.97
72,1997/98,S12000048,Total,d,731.45,507.54
73,1997/98,S12000038,SMR01, ,173.49,150.74
74,1997/98,S12000038,SMR04, ,696.81,489.19
75,1997/98,S12000038,Total,d,870.31,620.02
76,1997/98,S12000026,SMR01, ,217.06,188.75
77,1997/98,S12000026,SMR04, ,670.06,429.41
78,1997/98,S12000026,Total,d,887.13,580.41
79,1997/98,S12000027,SMR01, ,503.72,394.22
80,1997/98,S12000027,SMR04, ,219.01,197.11
81,1997/98,S12000027,Total,d,744.63,503.72
82,1997/98,S12000028,SMR01, ,308.04,250.84
83,1997/98,S12000028,SMR04, ,752.51,510.47
84,1997/98,S12000028,Total,d,1056.15,712.9
85,1997/98,S12000029,SMR01, ,134.67,113.32
86,1997/98,S12000029,SMR04, ,408.95,292.34
87,1997/98,S12000029,Total,d,543.62,390.88
88,1997/98,S12000030,SMR01, ,101.13,89.23
89,1997/98,S12000030,SMR04, ,612.73,356.93
90,1997/98,S12000030,Total,d,713.86,434.27
91,1997/98,S12000039,SMR01, ,136.55,126.05
92,1997/98,S12000039,SMR04, ,829.83,504.2
93,1997/98,S12000039,Total,d,971.64,614.5
94,1997/98,S12000040,SMR01, ,161.42,135.06
95,1997/98,S12000040,SMR04, ,764.26,484.25
96,1997/98,S12000040,Total,d,922.39,602.85
97,1998/99,S12000033,SMR01, ,201.72,164.62
98,1998/99,S12000033,SMR04, ,579.64,380.25
99,1998/99,S12000033,Total,d,781.36,528.63
100,1998/99,S12000034,SMR01, ,148.09,130.4
101,1998/99,S12000034,SMR04, ,347.01,265.23
102,1998/99,S12000034,Total,d,492.88,377.95
103,1998/99,S12000041,SMR01, ,186.72,145.73
104,1998/99,S12000041,SMR04, ,578.38,432.64
105,1998/99,S12000041,Total,d,769.65,555.61
106,1998/99,S12000035,SMR01, ,485.44,354.53
107,1998/99,S12000035,SMR04, ,681.79,463.62
108,1998/99,S12000035,Total,d,1167.23,752.7
109,1998/99,S12000036,SMR01, ,162.47,125.49
110,1998/99,S12000036,SMR04, ,659.96,442.59
111,1998/99,S12000036,Total,d,822.43,547.91
112,1998/99,S12000005,SMR01, ,134.27,123.94
113,1998/99,S12000005,SMR04, ,506.09,330.51
114,1998/99,S12000005,Total,d,640.36,433.79
115,1998/99,S12000006,SMR01, ,201.69,168.08
116,1998/99,S12000006,SMR04, ,558.02,410.11
117,1998/99,S12000006,Total,d,759.71,561.38
118,1998/99,S12000042,SMR01, ,160.34,146.98
119,1998/99,S12000042,SMR04, ,901.92,607.96
120,1998/99,S12000042,Total,d,1062.27,738.24
121,1998/99,S12000008,SMR01, ,206.61,177.69
122,1998/99,S12000008,SMR04, ,665.29,446.28
123,1998/99,S12000008,Total,d,871.9,599.17
124,1998/99,S12000045,SMR01, ,100.88,87.12
125,1998/99,S12000045,SMR04, ,362.25,261.37
126,1998/99,S12000045,Total,d,463.13,339.33
127,1998/99,S12000010,SMR01, ,101.86,79.22
128,1998/99,S12000010,SMR04, ,548.89,345.18
129,1998/99,S12000010,Total,d,650.75,407.42
130,1998/99,S12000011,SMR01, ,113.24,90.59
131,1998/99,S12000011,SMR04, ,379.35,277.43
132,1998/99,S12000011,Total,d,492.58,351.04
133,1998/99,S12000014,SMR01, ,100.78,83.4
134,1998/99,S12000014,SMR04, ,489.99,340.56
135,1998/99,S12000014,Total,d,590.77,410.06
136,1998/99,S12000047,SMR01, ,105.33,85.13
137,1998/99,S12000047,SMR04, ,558.38,363.59
138,1998/99,S12000047,Total,d,662.26,441.51
139,1998/99,S12000049,SMR01, ,281.92,218.04
140,1998/99,S12000049,SMR04, ,784.43,553.62
141,1998/99,S12000049,Total,d,1066.35,752.92
142,1998/99,S12000017,SMR01, ,327.99,251.38
143,1998/99,S12000017,SMR04, ,608.09,416.57
144,1998/99,S12000017,Total,d,936.08,634.43
145,1998/99,S12000018,SMR01, ,256.29,221.34
146,1998/99,S12000018,SMR04, ,809.65,547.53
147,1998/99,S12000018,Total,d,1065.94,745.57
148,1998/99,S12000019,SMR01, ,118.57,93.61
149,1998/99,S12000019,SMR04, ,630.3,386.92
150,1998/99,S12000019,Total,d,748.88,474.29
151,1998/99,S12000020,SMR01, ,224.65,167.05
152,1998/99,S12000020,SMR04, ,639.4,420.51
153,1998/99,S12000020,Total,d,864.06,564.52
154,1998/99,S12000013,SMR01, ,490.2,417.57
155,1998/99,S12000013,SMR04, ,217.86,181.55
156,1998/99,S12000013,Total,d,689.91,580.97
157,1998/99,S12000021,SMR01, ,163.67,130.94
158,1998/99,S12000021,SMR04, ,687.42,461.92
159,1998/99,S12000021,Total,d,851.09,567.4
160,1998/99,S12000050,SMR01, ,138.12,111.74
161,1998/99,S12000050,SMR04, ,488.86,339.87
162,1998/99,S12000050,Total,d,626.98,436.09
163,1998/99,S12000023,SMR01, ,331.8,255.23
164,1998/99,S12000023,SMR04, ,280.76,204.19
165,1998/99,S12000023,Total,d,612.56,382.85
166,1998/99,S12000048,SMR01, ,167.19,122.6
167,1998/99,S12000048,SMR04, ,683.61,460.69
168,1998/99,S12000048,Total,d,850.8,561
169,1998/99,S12000038,SMR01, ,185.38,159.71
170,1998/99,S12000038,SMR04, ,661.65,464.86
171,1998/99,S12000038,Total,d,849.87,598.9
172,1998/99,S12000026,SMR01, ,207.47,183.89
173,1998/99,S12000026,SMR04, ,612.98,419.65
174,1998/99,S12000026,Total,d,820.45,575.25
175,1998/99,S12000027,SMR01, ,484.58,352.42
176,1998/99,S12000027,SMR04, ,220.26,176.21
177,1998/99,S12000027,Total,d,704.85,462.56
178,1998/99,S12000028,SMR01, ,313.27,255.91
179,1998/99,S12000028,SMR04, ,825.1,555.95
180,1998/99,S12000028,Total,d,1142.78,758.91
181,1998/99,S12000029,SMR01, ,151.65,121.98
182,1998/99,S12000029,SMR04, ,481.32,331.32
183,1998/99,S12000029,Total,d,632.97,443.41
184,1998/99,S12000030,SMR01, ,112.19,106.28
185,1998/99,S12000030,SMR04, ,566.84,371.99
186,1998/99,S12000030,Total,d,679.03,466.46
187,1998/99,S12000039,SMR01, ,163.28,142.21
188,1998/99,S12000039,SMR04, ,795.32,500.37
189,1998/99,S12000039,Total,d,958.6,621.51
190,1998/99,S12000040,SMR01, ,140.34,120.76
191,1998/99,S12000040,SMR04, ,838.77,466.71
192,1998/99,S12000040,Total,d,975.85,574.41
193,1999/00,S12000033,SMR01, ,216.65,179.38
194,1999/00,S12000033,SMR04, ,561.43,358.76
195,1999/00,S12000033,Total,d,778.08,521.83
196,1999/00,S12000034,SMR01, ,149.62,123.22
197,1999/00,S12000034,SMR04, ,332.25,253.04
198,1999/00,S12000034,Total,d,481.87,356.45
199,1999/00,S12000041,SMR01, ,177.98,141.47
200,1999/00,S12000041,SMR04, ,533.95,397.04
201,1999/00,S12000041,Total,d,711.94,515.7
202,1999/00,S12000035,SMR01, ,496.51,381.93
203,1999/00,S12000035,SMR04, ,671.1,501.96
204,1999/00,S12000035,Total,d,1167.61,802.05
205,1999/00,S12000036,SMR01, ,143.12,116.28
206,1999/00,S12000036,SMR04, ,645.14,436.06
207,1999/00,S12000036,Total,d,788.26,535.57
208,1999/00,S12000005,SMR01, ,114.01,103.65
209,1999/00,S12000005,SMR04, ,456.05,331.67
210,1999/00,S12000005,Total,d,570.07,424.96
211,1999/00,S12000006,SMR01, ,165.28,131.55
212,1999/00,S12000006,SMR04, ,492.48,360.93
213,1999/00,S12000006,Total,d,654.39,478.99
214,1999/00,S12000042,SMR01, ,162.2,155.44
215,1999/00,S12000042,SMR04, ,770.43,550.79
216,1999/00,S12000042,Total,d,936,689.33
217,1999/00,S12000008,SMR01, ,186.64,153.46
218,1999/00,S12000008,SMR04, ,613.85,418.91
219,1999/00,S12000008,Total,d,796.35,551.64
220,1999/00,S12000045,SMR01, ,96.62,78.22
221,1999/00,S12000045,SMR04, ,326.68,234.66
222,1999/00,S12000045,Total,d,423.3,303.67
223,1999/00,S12000010,SMR01, ,123.44,106.61
224,1999/00,S12000010,SMR04, ,594.77,409.61
225,1999/00,S12000010,Total,d,723.82,504.99
226,1999/00,S12000011,SMR01, ,107.32,84.73
227,1999/00,S12000011,SMR04, ,333.26,248.53
228,1999/00,S12000011,Total,d,440.58,327.61
229,1999/00,S12000014,SMR01, ,110.67,86.46
230,1999/00,S12000014,SMR04, ,397.73,283.6
231,1999/00,S12000014,Total,d,508.4,363.15
232,1999/00,S12000047,SMR01, ,116.7,95.09
233,1999/00,S12000047,SMR04, ,520.13,340.03
234,1999/00,S12000047,Total,d,638.27,425.04
235,1999/00,S12000049,SMR01, ,272.75,216.14
236,1999/00,S12000049,SMR04, ,790.81,551.51
237,1999/00,S12000049,Total,d,1063.56,747.06
238,1999/00,S12000017,SMR01, ,317.88,243.79
239,1999/00,S12000017,SMR04, ,657.27,423.04
240,1999/00,S12000017,Total,d,975.14,633.37
241,1999/00,S12000018,SMR01, ,275.5,234.47
242,1999/00,S12000018,SMR04, ,873.39,609.61
243,1999/00,S12000018,Total,d,1148.89,808.91
244,1999/00,S12000019,SMR01, ,99.22,80.62
245,1999/00,S12000019,SMR04, ,595.31,365.87
246,1999/00,S12000019,Total,d,694.53,440.28
247,1999/00,S12000020,SMR01, ,213.13,167.05
248,1999/00,S12000020,SMR04, ,535.71,351.38
249,1999/00,S12000020,Total,d,748.85,495.39
250,1999/00,S12000013,SMR01, ,606.39,422.64
251,1999/00,S12000013,SMR04, ,716.65,441.01
252,1999/00,S12000013,Total,d,1323.04,826.9
253,1999/00,S12000021,SMR01, ,160.4,131.23
254,1999/00,S12000021,SMR04, ,634.3,419.22
255,1999/00,S12000021,Total,d,794.69,535.87
256,1999/00,S12000050,SMR01, ,186.24,142.79
257,1999/00,S12000050,SMR04, ,546.31,369.38
258,1999/00,S12000050,Total,d,732.56,493.54
259,1999/00,S12000023,SMR01, ,308.96,257.47
260,1999/00,S12000023,SMR04, ,231.72,154.48
261,1999/00,S12000023,Total,d,540.68,386.2
262,1999/00,S12000048,SMR01, ,122.04,99.85
263,1999/00,S12000048,SMR04, ,650.89,447.49
264,1999/00,S12000048,Total,d,776.63,532.54
265,1999/00,S12000038,SMR01, ,212.17,172.03
266,1999/00,S12000038,SMR04, ,702.45,504.62
267,1999/00,S12000038,Total,d,914.62,659.44
268,1999/00,S12000026,SMR01, ,217.37,184.29
269,1999/00,S12000026,SMR04, ,628.49,420.57
270,1999/00,S12000026,Total,d,841.13,576.51
271,1999/00,S12000027,SMR01, ,422.03,333.19
272,1999/00,S12000027,SMR04, ,199.91,133.27
273,1999/00,S12000027,Total,d,621.95,422.03
274,1999/00,S12000028,SMR01, ,319.01,243.69
275,1999/00,S12000028,SMR04, ,735.49,474.08
276,1999/00,S12000028,Total,d,1054.5,664.6
277,1999/00,S12000029,SMR01, ,137.15,117.32
278,1999/00,S12000029,SMR04, ,500.69,351.97
279,1999/00,S12000029,Total,d,637.85,454.43
280,1999/00,S12000030,SMR01, ,140.43,117.03
281,1999/00,S12000030,SMR04, ,462.26,304.27
282,1999/00,S12000030,Total,d,602.69,409.6
283,1999/00,S12000039,SMR01, ,217.12,180.05
284,1999/00,S12000039,SMR04, ,778.44,492.48
285,1999/00,S12000039,Total,d,995.55,646.05
286,1999/00,S12000040,SMR01, ,155.08,129.23
287,1999/00,S12000040,SMR04, ,810.93,458.77
288,1999/00,S12000040,Total,d,966.01,571.85
289,2000/01,S12000033,SMR01, ,187.49,150
290,2000/01,S12000033,SMR04, ,562.48,360.93
291,2000/01,S12000033,Total,d,747.63,499.2
292,2000/01,S12000034,SMR01, ,173.99,140.96
293,2000/01,S12000034,SMR04, ,361.2,240.07
294,2000/01,S12000034,Total,d,535.2,365.61
295,2000/01,S12000041,SMR01, ,156.18,137.8
296,2000/01,S12000041,SMR04, ,528.25,404.23
297,2000/01,S12000041,Total,d,689.02,523.66
298,2000/01,S12000035,SMR01, ,565.62,433.83
299,2000/01,S12000035,SMR04, ,719.38,483.25
300,2000/01,S12000035,Total,d,1285.01,829.21
301,2000/01,S12000036,SMR01, ,156.1,119.31
302,2000/01,S12000036,SMR04, ,590.95,399.17
303,2000/01,S12000036,Total,d,748.17,502.87
304,2000/01,S12000005,SMR01, ,93.42,93.42
305,2000/01,S12000005,SMR04, ,456.72,301.02
306,2000/01,S12000005,Total,d,550.13,384.06
307,2000/01,S12000006,SMR01, ,162.67,125.39
308,2000/01,S12000006,SMR04, ,555.78,393.11
309,2000/01,S12000006,Total,d,715.06,498.17
310,2000/01,S12000042,SMR01, ,156.88,143.24
311,2000/01,S12000042,SMR04, ,712.78,491.1
312,2000/01,S12000042,Total,d,869.65,617.28
313,2000/01,S12000008,SMR01, ,170.66,145.69
314,2000/01,S12000008,SMR04, ,641.03,424.58
315,2000/01,S12000008,Total,d,811.69,553.61
316,2000/01,S12000045,SMR01, ,101.27,78.25
317,2000/01,S12000045,SMR04, ,331.43,266.99
318,2000/01,S12000045,Total,d,432.7,336.03
319,2000/01,S12000010,SMR01, ,66.73,61.17
320,2000/01,S12000010,SMR04, ,617.28,383.72
321,2000/01,S12000010,Total,d,684.02,439.33
322,2000/01,S12000011,SMR01, ,123.54,95.46
323,2000/01,S12000011,SMR04, ,342.54,258.31
324,2000/01,S12000011,Total,d,466.08,342.54
325,2000/01,S12000014,SMR01, ,100.24,82.96
326,2000/01,S12000014,SMR04, ,432.08,297.27
327,2000/01,S12000014,Total,d,532.32,373.31
328,2000/01,S12000047,SMR01, ,119.14,91.86
329,2000/01,S12000047,SMR04, ,470.8,315.78
330,2000/01,S12000047,Total,d,589.94,401.91
331,2000/01,S12000049,SMR01, ,260.82,202.77
332,2000/01,S12000049,SMR04, ,747.81,513.85
333,2000/01,S12000049,Total,d,1009.5,695.82
334,2000/01,S12000017,SMR01, ,356.24,258.21
335,2000/01,S12000017,SMR04, ,712.48,459.04
336,2000/01,S12000017,Total,d,1071.1,679
337,2000/01,S12000018,SMR01, ,307.11,253.96
338,2000/01,S12000018,SMR04, ,820.93,549.26
339,2000/01,S12000018,Total,d,1133.95,785.49
340,2000/01,S12000019,SMR01, ,92.47,67.81
341,2000/01,S12000019,SMR04, ,567.13,394.53
342,2000/01,S12000019,Total,d,659.6,456.17
343,2000/01,S12000020,SMR01, ,219.1,184.5
344,2000/01,S12000020,SMR04, ,622.69,392.07
345,2000/01,S12000020,Total,d,841.79,553.51
346,2000/01,S12000013,SMR01, ,541.25,410.6
347,2000/01,S12000013,SMR04, ,746.55,429.26
348,2000/01,S12000013,Total,d,1287.79,802.54
349,2000/01,S12000021,SMR01, ,183.34,146.67
350,2000/01,S12000021,SMR04, ,605.02,396.01
351,2000/01,S12000021,Total,d,788.35,524.35
352,2000/01,S12000050,SMR01, ,172.69,129.13
353,2000/01,S12000050,SMR04, ,533.62,351.6
354,2000/01,S12000050,Total,d,706.31,465.17
355,2000/01,S12000023,SMR01, ,388.8,311.04
356,2000/01,S12000023,SMR04, ,233.28,181.44
357,2000/01,S12000023,Total,d,648,440.64
358,2000/01,S12000048,SMR01, ,114.84,100.02
359,2000/01,S12000048,SMR04, ,677.93,444.54
360,2000/01,S12000048,Total,d,792.77,529.75
361,2000/01,S12000038,SMR01, ,164.09,143.94
362,2000/01,S12000038,SMR04, ,728.35,515.32
363,2000/01,S12000038,Total,d,895.32,639.11
364,2000/01,S12000026,SMR01, ,192.94,169.41
365,2000/01,S12000026,SMR04, ,597.65,404.71
366,2000/01,S12000026,Total,d,790.59,545.88
367,2000/01,S12000027,SMR01, ,428.31,360.69
368,2000/01,S12000027,SMR04, ,225.43,157.8
369,2000/01,S12000027,Total,d,653.74,450.86
370,2000/01,S12000028,SMR01, ,262.71,200.37
371,2000/01,S12000028,SMR04, ,659.01,467.54
372,2000/01,S12000028,Total,d,921.72,636.74
373,2000/01,S12000029,SMR01, ,150.53,115.79
374,2000/01,S12000029,SMR04, ,468.12,329.18
375,2000/01,S12000029,Total,d,620.31,435.04
376,2000/01,S12000030,SMR01, ,110.26,104.46
377,2000/01,S12000030,SMR04, ,493.27,307.57
378,2000/01,S12000030,Total,d,603.53,406.22
379,2000/01,S12000039,SMR01, ,170.34,143.72
380,2000/01,S12000039,SMR04, ,750.56,479.08
381,2000/01,S12000039,Total,d,915.58,606.83
382,2000/01,S12000040,SMR01, ,152.82,124.16
383,2000/01,S12000040,SMR04, ,741.8,442.53
384,2000/01,S12000040,Total,d,891.44,547.6
385,2001/02,S12000033,SMR01, ,212.35,174.6
386,2001/02,S12000033,SMR04, ,519.09,318.53
387,2001/02,S12000033,Total,d,731.44,481.34
388,2001/02,S12000034,SMR01, ,160.84,136.6
389,2001/02,S12000034,SMR04, ,356.92,240.15
390,2001/02,S12000034,Total,d,517.76,365.74
391,2001/02,S12000041,SMR01, ,143.03,119.96
392,2001/02,S12000041,SMR04, ,507.52,387.56
393,2001/02,S12000041,Total,d,650.55,489.07
394,2001/02,S12000035,SMR01, ,421.69,323.11
395,2001/02,S12000035,SMR04, ,613.36,438.12
396,2001/02,S12000035,Total,d,1035.05,706.46
397,2001/02,S12000036,SMR01, ,171.48,122.49
398,2001/02,S12000036,SMR04, ,625.81,422.03
399,2001/02,S12000036,Total,d,797.29,526.7
400,2001/02,S12000005,SMR01, ,104.01,93.61
401,2001/02,S12000005,SMR04, ,499.27,364.05
402,2001/02,S12000005,Total,d,603.29,447.26
403,2001/02,S12000006,SMR01, ,196.24,155.64
404,2001/02,S12000006,SMR04, ,524.43,375.56
405,2001/02,S12000006,Total,d,720.67,507.51
406,2001/02,S12000042,SMR01, ,144.37,127.18
407,2001/02,S12000042,SMR04, ,714.97,474.36
408,2001/02,S12000042,Total,d,859.34,587.79
409,2001/02,S12000008,SMR01, ,182.86,153.77
410,2001/02,S12000008,SMR04, ,677.42,440.53
411,2001/02,S12000008,Total,d,860.28,573.52
412,2001/02,S12000045,SMR01, ,120.09,87.76
413,2001/02,S12000045,SMR04, ,332.56,235.57
414,2001/02,S12000045,Total,d,452.66,318.71
415,2001/02,S12000010,SMR01, ,121.98,88.71
416,2001/02,S12000010,SMR04, ,632.07,365.93
417,2001/02,S12000010,Total,d,748.5,443.56
418,2001/02,S12000011,SMR01, ,145.4,106.25
419,2001/02,S12000011,SMR04, ,313.16,240.47
420,2001/02,S12000011,Total,d,458.56,335.53
421,2001/02,S12000014,SMR01, ,86.05,75.72
422,2001/02,S12000014,SMR04, ,402.7,278.79
423,2001/02,S12000014,Total,d,488.75,351.07
424,2001/02,S12000047,SMR01, ,112.93,95.78
425,2001/02,S12000047,SMR04, ,514.62,340.22
426,2001/02,S12000047,Total,d,626.13,425.99
427,2001/02,S12000049,SMR01, ,296.35,214.27
428,2001/02,S12000049,SMR04, ,692.92,472.6
429,2001/02,S12000049,Total,d,989.27,664.41
430,2001/02,S12000017,SMR01, ,318.3,246.51
431,2001/02,S12000017,SMR04, ,588.74,404.46
432,2001/02,S12000017,Total,d,907.05,617.46
433,2001/02,S12000018,SMR01, ,231.73,196.08
434,2001/02,S12000018,SMR04, ,867.5,576.35
435,2001/02,S12000018,Total,d,1099.23,754.6
436,2001/02,S12000019,SMR01, ,129.71,86.47
437,2001/02,S12000019,SMR04, ,562.08,364.42
438,2001/02,S12000019,Total,d,685.61,438.54
439,2001/02,S12000020,SMR01, ,247.13,195.4
440,2001/02,S12000020,SMR04, ,563.22,362.07
441,2001/02,S12000020,Total,d,804.6,534.48
442,2001/02,S12000013,SMR01, ,604.91,472.59
443,2001/02,S12000013,SMR04, ,699.43,396.98
444,2001/02,S12000013,Total,d,1323.25,812.85
445,2001/02,S12000021,SMR01, ,209.84,161.98
446,2001/02,S12000021,SMR04, ,603.74,393.9
447,2001/02,S12000021,Total,d,813.58,537.48
448,2001/02,S12000050,SMR01, ,140.11,107.42
449,2001/02,S12000050,SMR04, ,516.84,347.16
450,2001/02,S12000050,Total,d,658.51,446.79
451,2001/02,S12000023,SMR01, ,416.23,364.2
452,2001/02,S12000023,SMR04, ,234.13,182.1
453,2001/02,S12000023,Total,d,676.38,468.26
454,2001/02,S12000048,SMR01, ,129.68,111.15
455,2001/02,S12000048,SMR04, ,696.55,466.84
456,2001/02,S12000048,Total,d,826.23,559.47
457,2001/02,S12000038,SMR01, ,164.88,138.85
458,2001/02,S12000038,SMR04, ,752.1,514.9
459,2001/02,S12000038,Total,d,914.09,633.5
460,2001/02,S12000026,SMR01, ,247.78,201.03
461,2001/02,S12000026,SMR04, ,640.49,434.78
462,2001/02,S12000026,Total,d,892.94,603.09
463,2001/02,S12000027,SMR01, ,364.3,295.99
464,2001/02,S12000027,SMR04, ,182.15,136.61
465,2001/02,S12000027,Total,d,523.68,364.3
466,2001/02,S12000028,SMR01, ,245.19,191.69
467,2001/02,S12000028,SMR04, ,597.36,423.5
468,2001/02,S12000028,Total,d,842.55,588.45
469,2001/02,S12000029,SMR01, ,145.53,114.11
470,2001/02,S12000029,SMR04, ,507.71,343.98
471,2001/02,S12000029,Total,d,653.24,448.17
472,2001/02,S12000030,SMR01, ,104.41,98.61
473,2001/02,S12000030,SMR04, ,504.64,324.83
474,2001/02,S12000030,Total,d,609.05,417.63
475,2001/02,S12000039,SMR01, ,214.32,171.45
476,2001/02,S12000039,SMR04, ,760.82,466.14
477,2001/02,S12000039,Total,d,975.14,616.16
478,2001/02,S12000040,SMR01, ,154.06,128.91
479,2001/02,S12000040,SMR04, ,719.99,421.3
480,2001/02,S12000040,Total,d,874.05,537.63
481,2002/03,S12000033,SMR01, ,173.25,144.77
482,2002/03,S12000033,SMR04, ,491.27,344.12
483,2002/03,S12000033,Total,d,664.51,479.4
484,2002/03,S12000034,SMR01, ,146.4,120.18
485,2002/03,S12000034,SMR04, ,334.31,242.54
486,2002/03,S12000034,Total,d,480.71,351.79
487,2002/03,S12000041,SMR01, ,101.09,78.12
488,2002/03,S12000041,SMR04, ,482.49,349.23
489,2002/03,S12000041,Total,d,578.99,422.76
490,2002/03,S12000035,SMR01, ,488.9,373.54
491,2002/03,S12000035,SMR04, ,615.25,444.96
492,2002/03,S12000035,Total,d,1104.15,763.57
493,2002/03,S12000036,SMR01, ,189.94,137.43
494,2002/03,S12000036,SMR04, ,648.04,429.05
495,2002/03,S12000036,Total,d,837.99,548.6
496,2002/03,S12000005,SMR01, ,124.64,103.86
497,2002/03,S12000005,SMR04, ,498.55,342.75
498,2002/03,S12000005,Total,d,623.18,436.23
499,2002/03,S12000006,SMR01, ,165.91,132.05
500,2002/03,S12000006,SMR04, ,511.28,375.84
501,2002/03,S12000006,Total,d,680.57,487.57
502,2002/03,S12000042,SMR01, ,131.61,117.75
503,2002/03,S12000042,SMR04, ,658.03,457.16
504,2002/03,S12000042,Total,d,789.64,561.06
505,2002/03,S12000008,SMR01, ,175.12,150.1
506,2002/03,S12000008,SMR04, ,567.04,404.44
507,2002/03,S12000008,Total,d,737.99,537.86
508,2002/03,S12000045,SMR01, ,111.78,79.18
509,2002/03,S12000045,SMR04, ,288.78,223.57
510,2002/03,S12000045,Total,d,400.56,298.09
511,2002/03,S12000010,SMR01, ,109.82,71.38
512,2002/03,S12000010,SMR04, ,625.96,384.36
513,2002/03,S12000010,Total,d,735.78,444.76
514,2002/03,S12000011,SMR01, ,127.88,83.4
515,2002/03,S12000011,SMR04, ,294.67,239.07
516,2002/03,S12000011,Total,d,428.11,311.35
517,2002/03,S12000014,SMR01, ,102.8,92.52
518,2002/03,S12000014,SMR04, ,407.76,287.83
519,2002/03,S12000014,Total,d,510.55,376.92
520,2002/03,S12000047,SMR01, ,116.9,89.81
521,2002/03,S12000047,SMR04, ,513.2,332.15
522,2002/03,S12000047,Total,d,630.1,411.99
523,2002/03,S12000049,SMR01, ,273.22,200.36
524,2002/03,S12000049,SMR04, ,659.21,456.24
525,2002/03,S12000049,Total,d,932.43,638.39
526,2002/03,S12000017,SMR01, ,288.42,219.3
527,2002/03,S12000017,SMR04, ,603.07,409.99
528,2002/03,S12000017,Total,d,891.5,595.92
